Composition,Eg,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (Å),avg_Covalent radius (Å),avg_Zunger radius (Å),avg_Ionic radius (Å),avg_Crystal radius (Å),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g•K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m•K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (Å),diff_Covalent radius (Å),diff_Zunger radius (Å),diff_Ionic radius (Å),diff_Crystal radius (Å),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g•K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m•K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (Å),max_Covalent radius (Å),max_Zunger radius (Å),max_Ionic radius (Å),max_Crystal radius (Å),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g•K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m•K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (Å),min_Covalent radius (Å),min_Zunger radius (Å),min_Ionic radius (Å),min_Crystal radius (Å),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g•K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m•K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV)
Hg0.7Cd0.3Te,0.35,61.2,150.86815,5.35,14.0,5.0,1.2,80.35,1.4575,1.4235,2.01075,1.4575,0.9835,2.0035,1.9215,6.195119999999999,5.113,1.923,3.22,9.0,2.0,2.0,10.0,2.0,917.15,5.72,532.42,1007.75,9.1425,0.18315,10.47705,61.94065,18.614,136.65,1.5035,32,88.179,1,4,2,2,20,0.1500000000000001,0.1299999999999999,0.7400000000000002,0.1500000000000001,0.2800000000000001,0.4100000000000001,0.98,4.328200000000001,1.16,0.6379999999999999,2.44,6,0,4,0,0,139,1.8,488.4,632.7999999999998,7.26,0.091,15.195,47.02,94.45,136,1.52,80,200.59,6,16,6,2,90,1.55,1.49,2.41,1.55,1.11,2.1,2.38,8.2469,5.49,2.158,4.44,12,2,4,10,2,1007,7.2,722.65,1262.95,13.5,0.23,17.49,99.57,96.8,197,2.19,48,112.411,5,12,4,0,70,1.4,1.36,1.67,1.4,0.83,1.69,1.4,3.9187,4.33,1.52,2.0,6,2,0,10,2,868,5.4,234.25,630.15,6.24,0.139,2.295,52.55,2.35,61,0.67
CuBr,3.077,32.0,71.725,4.0,14.0,6.0,1.5,79.5,1.25,1.155,1.62,1.25,1.265,2.43,1.955,5.0358,6.035,2.2675,2.72,9.0,1.5,2.5,5.0,4.0,942.5,4.9,811.0500000000001,1586.05,6.040000000000001,0.4265,9.168,157.869,200.561,225.0,2.355,6,16.358,0,6,4,1,31,0.2000000000000002,0.03000000000000003,0.8400000000000001,0.2000000000000002,1.11,1.06,1.75,2.7442,3.109999999999999,0.835,5.44,4,1,5,10,6,395,3.6,1090.2,2508.2,5.840000000000001,0.09299999999999997,7.764000000000001,284.862,400.878,226,2.27,35,79.904,4,17,8,2,95,1.35,1.17,2.04,1.35,1.82,2.96,2.83,6.4079,7.59,2.685,5.44,11,2,5,10,7,1140,6.7,1356.15,2840.15,8.96,0.473,13.05,300.3,401.0,338,3.49,29,63.546,4,11,4,1,64,1.15,1.14,1.2,1.15,0.71,1.9,1.08,3.6637,4.48,1.85,0.0,7,1,0,0,1,745,3.1,265.95,331.95,3.12,0.38,5.286,15.438,0.122,112,1.22
LuP,1.3,43.0,102.970381,4.5,9.0,5.0,1.5,62.0,1.375,1.31,2.305,1.375,0.655,1.73,1.76,5.57075,4.36,1.6715,3.0,4.0,2.0,1.5,0.5,3.5,768.0,12.75,1126.7,2114.15,5.83,0.46,9.6285,184.0145,8.317499999999999,371.0,3.93,56,143.993238,3,12,4,1,42,0.75,0.5,2.13,0.75,0.69,0.9199999999999999,1.12,1.2233,2.52,1.163,0.0,2,0,3,1,3,488,18.3,1618.9,3122.0,8.02,0.62,17.943,343.771,16.165,112,0.9999999999999996,71,174.967,6,15,7,2,83,1.75,1.56,3.37,1.75,1.0,2.19,2.32,6.1824,5.62,2.253,3.0,5,2,3,1,5,1012,21.9,1936.15,3675.15,9.84,0.77,18.6,355.9,16.4,427,4.43,15,30.973762,3,3,3,1,41,1.0,1.06,1.24,1.0,0.31,1.27,1.2,4.9591,3.1,1.09,3.0,3,2,0,0,2,524,3.6,317.25,553.15,1.82,0.15,0.657,12.129,0.235,315,3.43
Cu3SbSe4,0.4,34.25,78.52975,4.125,14.0,5.75,1.375,79.125,1.2625,1.19375,1.628125,1.2625,0.65875,2.24375,1.9425,4.8788,5.231249999999999,2.15875,3.415,7.75,1.625,2.375,5.0,3.625,854.125,5.237500000000001,866.6500000000001,1822.025,6.59125,0.32875,10.7245,141.105,154.4325,273.0,2.8825,22,58.21400000000001,1,5,3,1,25,0.3,0.24,0.7550000000000001,0.3,0.34,0.6499999999999999,1.46,2.0973,1.409999999999999,0.5840000000000001,3.44,6,1,4,10,5,196,2.9,866.0000000000001,1882.0,4.170000000000001,0.17,13.176,262.6,398.96,111,1.03,51,121.76,5,16,7,2,89,1.45,1.4,2.04,1.45,0.9,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,941,6.7,1356.15,2840.15,8.96,0.38,19.87,300.3,401.0,338,3.49,29,63.546,4,11,4,1,64,1.15,1.16,1.285,1.15,0.56,1.9,1.08,3.6637,4.48,1.85,2.0,5,1,0,0,1,745,3.8,490.15,958.15,4.79,0.21,6.694,37.7,2.04,227,2.46
ZnO,3.436,19.0,40.6947,3.0,14.0,5.5,1.5,78.0,0.9750000000000001,0.99,1.1725,0.9750000000000001,0.975,2.545,2.38,6.0609,5.995,2.6,2.22,9.0,2.0,2.0,5.0,4.0,1110.0,3.5965,373.75,634.6500000000001,3.565715,0.655,3.772295,59.35495,58.01337,190.0,1.985,22,49.3906,2,4,3,1,18,0.7500000000000001,0.52,1.415,0.7500000000000001,0.47,1.79,1.88,4.6188,3.09,2.02,4.44,6,0,4,10,4,408,5.607,638.0,1089.0,7.12857,0.53,7.09941,111.8901,115.97326,118,1.27,30,65.39,4,16,7,2,87,1.35,1.25,1.88,1.35,1.21,3.44,3.32,8.3703,7.54,3.61,4.44,12,2,4,10,6,1314,6.4,692.75,1179.15,7.13,0.92,7.322,115.3,116.0,249,2.62,8,15.9994,2,12,4,1,69,0.6,0.73,0.465,0.6,0.74,1.65,1.44,3.7515,4.45,1.59,0.0,6,2,0,0,2,906,0.793,54.74999999999997,90.14999999999998,0.00143,0.39,0.22259,3.4099,0.02674,131,1.35
PtSb2,0.08,60.0,146.2,5.333333333333333,13.33333333333333,5.333333333333333,1.333333333333333,77.66666666666666,1.416666666666667,1.366666666666667,2.076666666666667,1.416666666666667,0.8466666666666667,2.126666666666666,2.063333333333333,5.9038,5.1,1.896,3.926666666666667,6.666666666666666,1.666666666666667,2.0,9.666666666666666,1.666666666666667,845.3333333333333,6.566666666666666,1284.483333333333,2848.816666666667,11.59333333333333,0.1833333333333333,19.78,221.4266666666667,40.06666666666666,363.0,3.78,27,73.32000000000001,1,5,2,1,22,0.09999999999999987,0.09999999999999987,0.9350000000000003,0.09999999999999987,0.16,0.23,0.2300000000000002,2.725499999999999,0.75,0.264,2.78,5,1,3,1,1,34,0.09999999999999964,1141.0,1877.0,14.71,0.07999999999999999,0.2699999999999996,432.86,47.3,303,3.09,78,195.08,6,15,6,2,85,1.45,1.4,2.7,1.45,0.9,2.28,2.14,7.7208,5.6,1.984,5.78,10,2,3,10,2,868,6.6,2045.15,4100.15,21.4,0.21,19.87,510.0,71.6,565,5.84,51,121.76,5,10,4,1,63,1.35,1.3,1.765,1.35,0.74,2.05,1.91,4.9953,4.85,1.72,3.0,5,1,0,9,1,834,6.5,904.15,2223.15,6.69,0.13,19.6,77.14,24.3,262,2.75
ZnIn2S4,2.68,27.42857142857143,60.47,3.714285714285714,14.57142857142857,6.0,1.142857142857143,81.57142857142857,1.207142857142857,1.172857142857143,1.482857142857143,1.207142857142857,0.6199999999999999,2.218571428571428,2.185714285714285,5.086014285714285,5.075714285714286,2.179714285714286,2.76,6.0,2.0,2.571428571428571,4.285714285714285,4.285714285714286,860.2857142857142,5.342857142857142,442.2928571428571,1250.978571428571,4.289999999999999,0.5271428571428571,2.959714285714286,88.21428571428571,40.03942857142857,247.5714285714286,2.541428571428571,33,82.752,2,4,3,1,19,0.55,0.4199999999999999,0.9499999999999997,0.55,0.51,0.9300000000000002,1.21,2.0943,3.12,0.9989999999999999,2.44,9,0,4,10,4,442,6.799999999999999,306.8,1635.3,5.24,0.48,5.6045,221.7,115.731,148,1.5,49,114.818,5,16,7,2,88,1.55,1.44,2.05,1.55,0.94,2.58,2.65,5.8458,6.22,2.589,4.44,12,2,4,10,6,1000,9.7,692.75,2353.15,7.31,0.71,7.322,231.5,116.0,279,2.85,16,32.066,3,12,4,1,69,1.0,1.02,1.1,1.0,0.43,1.65,1.44,3.7515,3.1,1.59,2.0,3,2,0,0,2,558,2.9,385.95,717.8499999999999,2.07,0.23,1.7175,9.8,0.269,131,1.35
K2Cd3Te4,2.26,43.33333333333333,102.8699555555555,4.777777777777778,11.33333333333333,4.222222222222221,0.4444444444444444,64.0,1.627777777777778,1.548888888888889,2.300555555555555,1.627777777777778,1.137777777777778,1.678888888888889,1.702222222222222,4.344411111111111,4.421111111111111,1.628888888888889,2.591111111111111,6.888888888888889,1.777777777777778,1.777777777777778,7.777777777777778,1.777777777777778,768.6666666666666,14.48888888888889,593.9499999999999,1136.95,5.847777777777778,0.3322222222222222,10.356,74.29444444444444,56.06666666666667,144.8888888888889,1.567555555555555,33,88.5017,1,15,5,1,87,0.8000000000000003,0.6699999999999997,2.02,0.8000000000000003,0.6,1.28,1.58,2.6536,3.07,1.424,3.44,11,1,4,10,1,450,37.9,386.25,229.7999999999997,7.79,0.55,15.156,47.02,100.05,107,1.256,52,127.6,5,16,6,1,90,2.2,2.03,3.69,2.2,1.52,2.1,2.38,5.4418,5.49,2.158,4.44,12,2,4,10,2,869,43.4,722.65,1262.95,8.65,0.75,17.49,99.57,102.4,197,2.19,19,39.0983,4,1,1,0,3,1.4,1.36,1.67,1.4,0.92,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,5.5,336.4,1033.15,0.86,0.2,2.334,52.55,2.35,90,0.934
K4Sn3Ce3S14,2.46,26.0,57.57467500000001,3.791666666666667,11.625,5.25,1.083333333333333,63.70833333333334,1.3625,1.315833333333333,2.054166666666667,1.3625,0.7341666666666666,2.026666666666667,2.051666666666667,5.0205,4.956666666666667,1.996833333333333,2.233333333333333,4.541666666666666,1.833333333333333,2.583333333333333,1.375,4.166666666666667,808.5416666666667,13.5875,478.2416666666667,1350.1,3.097083333333333,0.5912916666666667,2.952,107.7533333333333,26.97358333333333,267.875,2.750666666666667,42,108.049,3,15,6,3,85,1.2,1.01,3.4,1.2,1.09,1.76,1.85,3.0576,3.8,1.855,3.0,5,1,4,10,5,581,40.5,734.7500000000001,2812.3,6.449999999999999,0.56,5.3115,404.2,102.131,329,3.386,58,140.115,6,16,7,3,88,2.2,2.03,4.5,2.2,1.52,2.58,2.65,5.8458,6.22,2.589,4.0,6,2,4,10,6,1000,43.4,1071.15,3530.15,7.31,0.75,7.029,414.0,102.4,419,4.32,16,32.066,3,1,1,0,3,1.0,1.02,1.1,1.0,0.43,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,336.4,717.8499999999999,0.86,0.19,1.7175,9.8,0.269,90,0.934
Pb6B2CrO12,1.8,29.61904761904761,71.84813809523808,3.238095238095238,14.66666666666667,6.19047619047619,1.047619047619047,82.04761904761904,1.004761904761905,0.9714285714285713,1.054761904761905,1.004761904761905,1.177142857142857,2.753333333333333,2.721904761904762,6.730833333333333,6.008571428571429,2.86647619047619,1.258095238095238,5.142857142857142,1.952380952380952,2.952380952380952,3.095238095238095,4.904761904761904,1062.809523809524,3.234095238095238,528.3499999999999,1035.816666666667,3.823198095238095,0.6814285714285714,7.084051428571428,115.7532761904762,17.13432761904762,271.7619047619048,2.825714285714286,77,196.389,4,10,3,1,38,1.2,0.74,1.975,1.2,1.24,1.78,1.42,5.099,3.82,1.96,5.78,3,1,4,10,5,661,10.807,2297.4,2855.0,11.39857,0.89,49.97741000000001,486.2901,93.67326,377,3.78,82,207.2,6,16,7,2,87,1.8,1.47,2.44,1.8,1.49,3.44,3.32,8.3703,7.54,3.61,5.78,6,2,4,10,6,1314,11.6,2352.15,2945.15,11.4,1.02,50.2,489.7,93.7,573,5.81,5,10.811,2,6,4,1,49,0.6,0.73,0.465,0.6,0.25,1.66,1.9,3.2713,3.72,1.65,0.0,3,1,0,0,1,653,0.793,54.74999999999997,90.14999999999998,0.00143,0.13,0.22259,3.4099,0.02674,196,2.03
